Stud CHEM_Qu1 	CHEM_Qu2 	CHEM_Qu3 	CHEM_Qu4 	CHEM_Qu5	COMP_Qu1 	COMP_Qu2 	COMP_Qu3 	COMP_Qu4 	COMP_Qu5
1234 052 		007 		100 		078 		034			085 		069 		078 		096 		098		
2134 090 		036 		090 		077 		030			090 		036 		090 		077 		030
3124 100 		045 		020 		090 		070			100 		045 		020 		090 		070
4532 011 		017 		081 		032 		077			011 		017 		081 		032 		077
5678 020 		012 		045 		078 		034			020 		012 		045 		078 		034
6134 034 		080 		055 		078 		045			034 		080 		055 		078 		045
7874 060 		100 		056 		078 		078			060 		100 		056 		078 		078
8026 070 		010 		066 		078 		056			070 		010 		066 		078 		056
9893 034 		009 		077 		078 		020			034 		009 		077 		078 		020
1947 045 		040 		088 		078 		055			045 		040 		088 		078 		055
2877 055 		050 		099 		078 		080			055 		050 		099 		078 		080
3189 022 		070 		100 		078 		077			022 		070 		100 		078 		077
4602 089 		050 		091 		078 		060			089 		050 		091 		078 		060
5405 011 		011 		000 		078 		010			011 		011 		000 		078 		010
6999 000 		098 		089 		078 		020			000 		098 		089 		078 		020

